 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.0.1   R"
 Date_of_run_____________________________________________________________ (date)________________________     "15/12/2023"
 Time_of_run_____________________________________________________________ (time)________________________     "12:44"
 User____________________________________________________________________ (username)____________________     "clair"   
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "EU-DEMO 2018 baseline                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "v3.0.1-18-gf145d83"                                                                                
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Corrected number of days in year in annual cost calculation ([hash]3010)"                          
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/clair/development/PROCESS/input_files/clean_demo_IN.DAT                                                                                                                                           "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             40    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             25    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________              1    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      1.0977E-07 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      0.0000E+00 OP 
 Normalised_objective_function___________________________________________ (norm_objf)___________________      1.7944E+00 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________              0 OP 
 fiooic_(range_normalised)_______________________________________________ (nitvar021)___________________      7.3313E-01    
 fvdump__________________________________________________________________ (itvar022)____________________      1.0000E+00    
 fvdump_(final_value/initial_value)______________________________________ (xcm022)______________________      1.0000E+00    
 fvdump_(range_normalised)_______________________________________________ (nitvar022)___________________      1.0000E+00    
 vdalw___________________________________________________________________ (itvar023)____________________      1.0000E+01    
 vdalw_(final_value/initial_value)_______________________________________ (xcm023)______________________      1.0010E+00    
 vdalw_(range_normalised)________________________________________________ (nitvar023)___________________      1.0000E+00    
 fjprot__________________________________________________________________ (itvar024)____________________      1.0000E+00    
 fjprot_(final_value/initial_value)______________________________________ (xcm024)______________________      1.0000E+00    
 fjprot_(range_normalised)_______________________________________________ (nitvar024)___________________      1.0000E+00    
 ftmargtf________________________________________________________________ (itvar025)____________________      1.0000E+00    
 ftmargtf_(final_value/initial_value)____________________________________ (xcm025)______________________      1.0000E+00    
 ftmargtf_(range_normalised)_____________________________________________ (nitvar025)___________________      1.0000E+00    
 tdmptf__________________________________________________________________ (itvar026)____________________      2.6923E+01    
 tdmptf_(final_value/initial_value)______________________________________ (xcm026)______________________      1.0424E+00    
 tdmptf_(range_normalised)_______________________________________________ (nitvar026)___________________      2.6850E-01    
 thkcas__________________________________________________________________ (itvar027)____________________      3.9523E-01    
 thkcas_(final_value/initial_value)______________________________________ (xcm027)______________________      7.5331E-01    
 thkcas_(range_normalised)_______________________________________________ (nitvar027)___________________      3.6340E-01    
 thwcndut________________________________________________________________ (itvar028)____________________      8.0000E-03    
 thwcndut_(final_value/initial_value)____________________________________ (xcm028)______________________      1.0000E+00    
 thwcndut_(range_normalised)_____________________________________________ (nitvar028)___________________      0.0000E+00    
 fcutfsu_________________________________________________________________ (itvar029)____________________      8.9557E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm029)______________________      1.1072E+00    
 fcutfsu_(range_normalised)______________________________________________ (nitvar029)___________________      8.9902E-01    
 cpttf___________________________________________________________________ (itvar030)____________________      6.5000E+04    
 cpttf_(final_value/initial_value)_______________________________________ (xcm030)______________________      1.0000E+00    
 cpttf_(range_normalised)________________________________________________ (nitvar030)___________________      1.6667E-01    
 flhthresh_______________________________________________________________ (itvar031)____________________      1.5000E+00    
 flhthresh_(final_value/initial_value)___________________________________ (xcm031)______________________      1.0019E+00    
 flhthresh_(range_normalised)____________________________________________ (nitvar031)___________________      1.0000E+00    
 ftmargoh________________________________________________________________ (itvar032)____________________      1.0000E+00    
 ftmargoh_(final_value/initial_value)____________________________________ (xcm032)______________________      1.0000E+00    
 ftmargoh_(range_normalised)_____________________________________________ (nitvar032)___________________      1.0000E+00    
 ftaulimit_______________________________________________________________ (itvar033)____________________      9.7898E-01    
 ftaulimit_(final_value/initial_value)___________________________________ (xcm033)______________________      9.7898E-01    
 ftaulimit_(range_normalised)____________________________________________ (nitvar033)___________________      9.7896E-01    
 fmaxvvstress____________________________________________________________ (itvar034)____________________      3.0759E-01    
 fmaxvvstress_(final_value/initial_value)________________________________ (xcm034)______________________      3.3479E-01    
 fmaxvvstress_(range_normalised)_________________________________________ (nitvar034)___________________      3.0690E-01    
 fpsepbqar_______________________________________________________________ (itvar035)____________________      9.1754E-01    
 fpsepbqar_(final_value/initial_value)___________________________________ (xcm035)______________________      9.1754E-01    
 fpsepbqar_(range_normalised)____________________________________________ (nitvar035)___________________      9.1746E-01    
 oh_steel_frac___________________________________________________________ (itvar036)____________________      7.4330E-01    
 oh_steel_frac_(final_value/initial_value)_______________________________ (xcm036)______________________      1.2843E+00    
